region,location,year,rainy_days,days,rainy_pct
AK,Alaska,2016,109,366,0.2978142076502732
AK,Alaska,2017,134,365,0.36712328767123287
AK,Alaska,2018,142,365,0.38904109589041097
AK,Alaska,2019,140,365,0.3835616438356164
AK,Alaska,2020,144,366,0.39344262295081966
AK,Alaska,2021,142,365,0.38904109589041097
AK,Alaska,2022,134,365,0.36712328767123287
AK,Alaska,2023,155,365,0.4246575342465753
AK,Alaska,2024,133,366,0.3633879781420765
AK,Alaska,2025,136,365,0.3726027397260274
AL,Alabama,2016,103,366,0.2814207650273224
AL,Alabama,2017,124,365,0.33972602739726027
AL,Alabama,2018,143,365,0.3917808219178082
AL,Alabama,2019,126,365,0.3452054794520548
AL,Alabama,2020,129,366,0.3524590163934426
AL,Alabama,2021,141,365,0.3863013698630137
AL,Alabama,2022,120,365,0.3287671232876712
AL,Alabama,2023,105,365,0.2876712328767123
AL,Alabama,2024,103,366,0.2814207650273224
AL,Alabama,2025,115,365,0.3150684931506849
AR,Arkansas,2016,110,366,0.3005464480874317
AR,Arkansas,2017,124,365,0.33972602739726027
AR,Arkansas,2018,142,365,0.38904109589041097
AR,Arkansas,2019,134,365,0.36712328767123287
AR,Arkansas,2020,130,366,0.3551912568306011
AR,Arkansas,2021,124,365,0.33972602739726027
AR,Arkansas,2022,105,365,0.2876712328767123
AR,Arkansas,2023,105,365,0.2876712328767123
AR,Arkansas,2024,116,366,0.31693989071038253
AR,Arkansas,2025,115,365,0.3150684931506849
AZ,Arizona,2016,65,366,0.17759562841530055
AZ,Arizona,2017,65,365,0.1780821917808219
AZ,Arizona,2018,65,365,0.1780821917808219
AZ,Arizona,2019,68,365,0.1863013698630137
AZ,Arizona,2020,32,366,0.08743169398907104
AZ,Arizona,2021,70,365,0.1917808219178082
AZ,Arizona,2022,74,365,0.20273972602739726
AZ,Arizona,2023,48,365,0.13150684931506848
AZ,Arizona,2024,55,366,0.15027322404371585
AZ,Arizona,2025,55,365,0.1506849315068493
CA,California,2016,49,366,0.13387978142076504
CA,California,2017,52,365,0.14246575342465753
CA,California,2018,41,365,0.11232876712328767
CA,California,2019,71,365,0.19452054794520549
